window_label,coupling_label,coupled_window_length_um,c_rq1_ff,c_rq2_ff,readout_only_lq_nh,readout_only_fq_ghz,readout_only_re_y_s,readout_to_xy_ratio,full_baseline_lq_fq_ghz,full_baseline_lq_re_y_s,full_baseline_lq_normalized
window_300_um,rq_50p0_46p0,300.0,50.0,46.0,12.0,3.9627240617853254,1.5612937017117654e-14,5.354519091269341e-5,3.620350813841229,1.0456471124001722e-10,0.3524261309857471
window_300_um,rq_60p0_55p2,300.0,60.00000000000001,55.2,11.75,3.935071635480392,1.859366501099649e-14,6.376771658586216e-5,3.5579890836383283,8.684519282413672e-11,0.29270405798250293
window_300_um,rq_80p0_73p6,300.0,80.0,73.6,11.0,3.933757714399818,2.778699604217518e-14,9.529661243988058e-5,3.44237579474247,6.123008179518828e-11,0.20637058689414386
window_300_um,rq_100p0_92p0,300.0,100.0,92.0,10.25,3.9498434405359344,3.9459173108300114e-14,0.00013532680974915034,3.3373608228856666,4.435035815296627e-11,0.14947896806031016
window_350_um,rq_2p5_2p3,350.0,2.5,2.3,14.5,3.95586571320723,7.720332652704998e-17,2.647718909935796e-7,3.969142053123444,2.804326878262716e-10,0.9451736250262173
window_350_um,rq_5p0_4p6,350.0,5.0,4.6,14.5,3.934775693936298,2.8355908412059476e-16,9.72477201286293e-7,3.9482058173276298,2.6515728399775384e-10,0.8936892245369141
window_350_um,rq_7p5_6p9,350.0,7.500000000000001,6.9,14.25,3.9482044386208335,6.514145293978409e-16,2.234052139047765e-6,3.9275984501845884,2.5081343762599227e-10,0.8453445562419831
window_350_um,rq_10p0_9p2,350.0,10.0,9.2,14.0,3.9625091933671395,1.1811933544852432e-15,4.0509497733433716e-6,3.907311313156439,2.3734386222456966e-10,0.7999465410947136
window_350_um,rq_12p5_11p5,350.0,12.5,11.5,14.0,3.9420411738090584,1.6764724089353464e-15,5.749529066689226e-6,3.8873361507763575,2.2469417446395433e-10,0.7573118848824628
window_350_um,rq_15p0_13p8,350.0,15.000000000000002,13.8,13.75,3.957380840450605,2.47408709627968e-15,8.484980485073615e-6,3.8676650274786706,2.1281285913278068e-10,0.7172669601317435
window_350_um,rq_17p5_16p1,350.0,17.5,16.1,13.75,3.9373548887796535,3.0557886944218034e-15,1.047994934279652e-5,3.8482903658166245,2.0165129431629288e-10,0.6796478909699476
