frequency_hz,frequency_ghz,S21_real,S21_imag,S21_mag,S11_real,S11_imag,S11_mag
5.16e9,5.16,0.09746858906953858,-0.10370101452415578,0.1423166408700885,-0.4862235155076848,-0.8621674238213868,0.9898211827049664
5.162e9,5.162,0.09792634980357742,-0.10473264371926358,0.1433823442627397,-0.4871127918081347,-0.8614886136279496,0.989667370056082
5.164e9,5.164,0.09838651913940416,-0.10578022106490384,0.14446232144371857,-0.4880032934616395,-0.8608039400779274,0.9895103019590503
5.166e9,5.166,0.09884905841543813,-0.10684409101365629,0.14555684846187475,-0.4888950216964958,-0.8601132841819317,0.9893498895061572
5.168e9,5.168,0.09931392531031413,-0.10792460732752386,0.14666620819855838,-0.4897879768915328,-0.8594165236165492,0.989186040829861
5.17e9,5.17,0.09978107362244472,-0.10902213336244056,0.14779069055980998,-0.49068215851355884,-0.8587135326174438,0.9890186609886867
5.172e9,5.172,0.10025045304136554,-0.11013704237141395,0.14893059268438325,-0.49157756505443095,-0.858004181865002,0.9888476518466709
5.173999999999999e9,5.1739999999999995,0.10072200890761104,-0.11126971781991798,0.15008621916121764,-0.49247419395902853,-0.8572883383683083,0.9886729119470655
5.176e9,5.176,0.10119568195144715,-0.1124205536998518,0.1512578822402314,-0.4933720415533456,-0.8565658653446797,0.9884943363824581
5.178e9,5.178,0.10167140802576834,-0.11358995487073566,0.15244590206849784,-0.4942711029650754,-0.8558366220933814,0.9883118166563231
5.18e9,5.18,0.10214911781395306,-0.11477833739475603,0.15365060691475746,-0.4951713720403744,-0.8551004638674808,0.9881252405412625
5.181999999999999e9,5.1819999999999995,0.10262873652844952,-0.11598612889794328,0.15487233341741907,-0.49607284125487355,-0.854357241738585,0.9879344919284101
5.184e9,5.184,0.10311018358912072,-0.11721376893930897,0.15611142683589788,-0.49697550162095133,-0.853606802456412,0.9877394506706999
5.186e9,5.186,0.10359337227634187,-0.11846170937769937,0.15736824129496796,-0.49787934258422545,-0.8528489883089669,0.9875399924214355
5.188e9,5.188,0.10407820937556253,-0.11973041477737585,0.1586431400646933,-0.4987843519213019,-0.8520836369681455,0.9873359884610787
5.19e9,5.19,0.1045645947899785,-0.1210203628020502,0.15993649582359948,-0.499690515621939,-0.8513105813398217,0.9871273055202477
5.192e9,5.192,0.10505242113718656,-0.12233204463863953,0.1612486909474148,-0.5005978177717,-0.8505296494008637,0.986913805591828
5.194e9,5.194,0.10554157331993246,-0.1236659654299211,0.16258011780215045,-0.5015062404234977,-0.8497406640332847,0.986695345735166
5.196e9,5.196,0.10603192806592589,-0.12502264470866925,0.1639311790335439,-0.5024157634586779,-0.8489434428564165,0.9864717778733825
5.198e9,5.198,0.10652335344883826,-0.12640261686631438,0.16530228788688434,-0.5033263644446122,-0.8481377980460095,0.9862429485777651
5.199999999999999e9,5.199999999999999,0.10701570837637539,-0.12780643162634006,0.16669386852657705,-0.5042380184794176,-0.8473235361510952,0.9860086988438013
5.202e9,5.202,0.10750884204581332,-0.12923465452878033,0.16810635636169394,-0.5051506980270682,-0.8465004579051116,0.985768863857445
5.204e9,5.204,0.10800259336749791,-0.1306878674318051,0.16954019838368176,-0.5060643727431915,-0.8456683580293508,0.9855232727500747
5.205999999999999e9,5.2059999999999995,0.10849679035752997,-0.1321666690380056,0.17099585352425223,-0.5069790092892407,-0.8448270250279707,0.9852717483402796
5.208e9,5.208,0.10899124948685361,-0.13367167542039962,0.172473793007524,-0.5078945711332554,-0.8439762409801398,0.9850141068662928
5.21e9,5.21,0.10948577499693336,-0.13520352058020157,0.1739745007291589,-0.5088110183408576,-0.8431157813200848,0.9847501577029768
5.212e9,5.212,0.10998015816774512,-0.13676285700480584,0.17549847363073903,-0.5097283073488807,-0.842245414615315,0.9844797030682141
5.214e9,5.2139999999999995,0.1104741765478504,-0.1383503562602637,0.17704622210391135,-0.5106463907278586,-0.841364902331529,0.9842025377119956
5.216e9,5.216,0.11096759312671446,-0.13996670957259066,0.17861827037823982,-0.5115652169253821,-0.8404739985979179,0.9839184485957595
5.218e9,5.218,0.11146015547197088,-0.1416126284674381,0.1802151569632604,-0.5124847299976224,-0.8395724499529342,0.9836272145486359
5.22e9,5.22,0.11195159479273743,-0.14328884537134562,0.1818374350470515,-0.5134048693179617,-0.8386599950970081,0.9833286059174252
5.222e9,5.222,0.11244162496734195,-0.1449961142887577,0.1834856729669509,-0.514325569271326,-0.8377363646217025,0.9830223841886103
5.223999999999999e9,5.223999999999999,0.11292994148927385,-0.14673521143739618,0.18516045463421227,-0.5152467589239538,-0.8368012807459229,0.9827083016031033
5.226e9,5.226,0.11341622036419555,-0.14850693594497683,0.18686238001659192,-0.5161683616754343,-0.8358544570317457,0.9823861007437638
5.228e9,5.228,0.11390011692644646,-0.15031211052884735,0.188592065600583,-0.517090294886045,-0.8348955981002456,0.9820555141093114
5.23e9,5.2299999999999995,0.11438126459288307,-0.15215158222310687,0.1903501448984528,-0.518012469479788,-0.833924399331611,0.981716263661317
5.232e9,5.232,0.1148592735233204,-0.15402622307490352,0.1921372689225723,-0.5189347895198907,-0.8329405465679544,0.9813680603580778
5.234e9,5.234,0.11533372921234702,-0.1559369309005843,0.19395410671785374,-0.5198571517584263,-0.8319437157962636,0.9810106036569012
5.236e9,5.236,0.11580419098083611,-0.1578846300195304,0.19580134587160009,-0.5207794451545558,-0.830933572832019,0.9806435809991677
5.238e9,5.2379999999999995,0.11627019037583285,-0.15987027200897244,0.19767969304472133,-0.5217015503608222,-0.8299097729927358,0.9802666672685244
5.24e9,5.24,0.11673122947547716,-0.16189483649028552,0.19958987453544028,-0.5226233391768201,-0.8288719607578697,0.9798795242186282
5.242e9,5.242,0.11718677907260135,-0.16395933187722636,0.20153263680862496,-0.5235446739635341,-0.8278197694337702,0.97948179988245
5.244e9,5.244,0.11763627675269472,-0.1660647961599101,0.20350874706476152,-0.524465407019507,-0.8267528208043756,0.9790731279471054
5.246e9,5.246,0.11807912485260078,-0.1682122977089928,0.20551899383389094,-0.5253853799197161,-0.8256707247687292,0.9786531270953478
5.248e9,5.248,0.11851468827283985,-0.17040293601453474,0.20756418751504804,-0.5263044227994214,-0.8245730789948132,0.9782214003287899
5.25e9,5.25,0.11894229217202582,-0.1726378425099754,0.20964516100696107,-0.5272223536039408,-0.8234594685390914,0.9777775342409752
5.252e9,5.252,0.1193612194917219,-0.17491818129901077,0.2117627702583828,-0.5281389772743327,-0.822329465491853,0.9773210982745102
5.254e9,5.254,0.11977070834001642,-0.17724514994305487,0.21391789489101953,-0.529054084889155,-0.8211826285957903,0.9768516439282849
5.255999999999999e9,5.255999999999999,0.12016994919638002,-0.179619980183868,0.2161114387789635,-0.5299674527399856,-0.8200185028797689,0.97636870393765
5.258e9,5.258,0.12055808194331909,-0.18204393867537882,0.21834433065755823,-0.5308788413518164,-0.8188366192804623,0.9758717914099698
5.26e9,5.26,0.12093419270347598,-0.18451832766236112,0.22061752470770749,-0.5317879944299057,-0.8176364942760723,0.975360398925365
5.262e9,5.262,0.12129731047405369,-0.18704448563015463,0.22293200114135273,-0.5326946377419631,-0.8164176295181717,0.9748339975950325
5.264e9,5.264,0.12164640354820805,-0.18962378792070658,0.2252887667896706,-0.5335984779214049,-0.8151795114686977,0.9742920360745975
5.266e9,5.266,0.12198037570397409,-0.1922576472840628,0.22768885566949862,-0.5344992011915219,-0.8139216110471195,0.9737339395358023
5.268e9,5.268,0.12229806214848733,-0.19494751435659846,0.23013332952680154,-0.5353964719993217,-0.8126433832940433,0.9731591085947404
5.27e9,5.27,0.12259822520252334,-0.1976948780680505,0.23262327836471994,-0.5362899315636893,-0.8113442670446768,0.9725669181927022
5.272e9,5.272,0.1228795497126772,-0.2005012659731623,0.23515982096104573,-0.537179196320927,-0.8100236846201287,0.9719567164259769
5.274e9,5.274,0.12314063816530342,-0.20336824444405271,0.2377441053233795,-0.5380638562666036,-0.8086810415506827,0.9713278233346274
5.276e9,5.276,0.12338000549492557,-0.20629741877384805,0.24037730913852975,-0.5389434731872587,-0.8073157263178852,0.9706795296344308
5.278e9,5.2780000000000005,0.12359607355783321,-0.20929043309119144,0.24306064013412743,-0.5398175787720444,-0.8059271101447535,0.9700110954095247
5.279999999999999e9,5.279999999999999,0.12378716526346352,-0.2123489701603229,0.2457953364328008,-0.5406856725989831,-0.8045145468132125,0.9693217487438748
5.282e9,5.282,0.12395149833246734,-0.21547475096215252,0.24858266681541838,-0.5415472199884901,-0.8030773725374611,0.968610684309715
5.284e9,5.284,0.1240871786653597,-0.218669534044941,0.2514239308987124,-0.5424016497105062,-0.8016149059010589,0.9678770619099526
5.286e9,5.286,0.12419219330214995,-0.2219351146677629,0.25432045926309516,-0.5432483515453902,-0.8001264478464821,0.9671200049632999
5.288e9,5.288,0.12426440294450646,-0.22527332359987406,0.25727361342525634,-0.5440866736802781,-0.7986112817626873,0.9663385989574832
