frequency_hz,frequency_ghz,S21_model_real,S21_model_imag,S21_model_mag
5664000000.0,5.664,-0.1798276014431393,0.08891385701801727,0.20060817583192608
5666000000.0,5.666,-0.17823609068219973,0.08886297194625803,0.19916006578828688
5668000000.0,5.668,-0.1766697246427894,0.08880532410363091,0.19773360158179984
5670000000.0,5.67,-0.17512796363261945,0.08874125291041404,0.1963283311552822
5672000000.000001,5.672000000000001,-0.17361028146508603,0.08867108217135536,0.19494381406914568
5674000000.0,5.674,-0.1721161651217791,0.08859512083318852,0.19357962116833166
5675999999.999999,5.675999999999999,-0.17064511442002742,0.08851366370280189,0.19223533425860334
5677999999.999999,5.677999999999999,-0.1691966416858444,0.08842699212822952,0.19091054579203837
5680000000.000001,5.680000000000001,-0.16777027143257453,0.08833537464450877,0.1896048585615502
5681999999.999999,5.681999999999999,-0.1663655400454596,0.08823906758632963,0.18831788540423416
5683999999.999999,5.683999999999999,-0.1649819954723316,0.08813831566929314,0.1870492489133608
5686000000.000001,5.686000000000001,-0.16361919692059235,0.08803335254149168,0.18579858115882947
5688000000.0,5.688,-0.16227671456057913,0.08792440130702545,0.18456552341587126
5689999999.999999,5.689999999999999,-0.1609541292353897,0.08781167502297624,0.1833497259017949
5691999999.999999,5.691999999999999,-0.1596510321772388,0.08769537717127647,0.18215084752059257
5694000000.0,5.694,-0.15836702473036313,0.08757570210682641,0.1809685556151981
5696000000.0,5.696,-0.15710171808046253,0.08745283548313586,0.1798025257271809
5697999999.999999,5.697999999999999,-0.15585473299067543,0.08732695465669613,0.17865244136369193
5700000000.0,5.7,-0.15462569954404493,0.08719822907121784,0.17751799377145358
5702000000.0,5.702,-0.15341425689243993,0.08706682062280922,0.17639888171761178
5704000000.0,5.704,-0.15222005301183192,0.08693288400710245,0.17529481127722304
5705999999.999999,5.705999999999999,-0.15104274446389382,0.08679656704928776,0.17420549562722362
5708000000.0,5.708,-0.14988199616380682,0.08665801101795405,0.17313065484666557
5710000000.0,5.71,-0.1487374811541973,0.0865173509235883,0.17207001572304956
5712000000.0,5.712,-0.147608880385089,0.08637471580253656,0.17102331156455972
5714000000.0,5.714,-0.1464958824997793,0.08623022898718613,0.16999028201803684
5716000000.0,5.716,-0.14539818362652152,0.08608400836308629,0.1689706728925099
5718000000.0,5.718,-0.144315487175892,0.08593616661368292,0.16796423598811064
5720000000.0,5.72,-0.14324750364373756,0.08578681145330899,0.16697072893021755
5722000000.0,5.722,-0.14219395041957156,0.08563604584903431,0.16598991500865792
5724000000.0,5.724,-0.14115455160030552,0.08548396823194668,0.16502156302181778
5725999999.999999,5.725999999999999,-0.14012903780918284,0.08533067269840376,0.16406544712549775
5728000000.000001,5.728000000000001,-0.13911714601979985,0.08517624920176729,0.16312134668637296
5730000000.0,5.73,-0.13811861938509748,0.08502078373510406,0.16218904613991897
5731999999.999999,5.731999999999999,-0.13713320707117335,0.08486435850530648,0.16126833485263775
5733999999.999999,5.733999999999999,-0.13616066409582198,0.08470705209906923,0.16035900698847474
5736000000.000001,5.736000000000001,-0.13520075117167038,0.0845489396411297,0.1594608613792843
5738000000.0,5.738,-0.1342532345537795,0.08439009294515766,0.1585737013992058
5739999999.999999,5.739999999999999,-0.13331788589160373,0.08423058065766235,0.15769733484283632
5742000000.0,5.742,-0.1323944820851866,0.08407046839526294,0.156831573807074
5744000000.0,5.744,-0.13148280514548635,0.08390981887565258,0.1559762345765237
5746000000.0,5.746,-0.13058264205869397,0.08374869204256287,0.15513113751232865
5747999999.999999,5.747999999999999,-0.12969378465446102,0.08358714518502852,0.15429610694434498
5750000000.0,5.75,-0.12881602947790813,0.08342523305122765,0.1534709710665341
5752000000.0,5.752,-0.12794917766531652,0.0832630079571644,0.15265556183547835
5754000000.0,5.754,-0.12709303482338882,0.08310051989044251,0.15184971487191196
5756000000.0,5.756,-0.12624741091198688,0.08293781660936983,0.15105326936517965
