lq_nh,fq_ghz,g_resonance_s,crossed,setup
22.0,2.9999999999999996,3.829702214600028e-11,false,XY + Readout
22.25,2.9999999999999996,3.829702482207076e-11,false,XY + Readout
22.5,2.9999999999999996,3.8297023027625416e-11,false,XY + Readout
22.75,2.9999999999999996,3.829702569811143e-11,false,XY + Readout
23.0,2.9999999999999996,3.8297024751819806e-11,false,XY + Readout
23.25,2.9999999999999996,3.829702564855255e-11,false,XY + Readout
23.5,2.9999999999999996,3.8297023909654636e-11,false,XY + Readout
23.75,2.9999999999999996,3.8297023936501416e-11,false,XY + Readout
24.0,2.9999999999999996,3.8297024795583206e-11,false,XY + Readout
24.25,2.9999999999999996,3.82970247567951e-11,false,XY + Readout
24.5,2.9999999999999996,3.829702388744631e-11,false,XY + Readout
24.75,2.9999999999999996,3.829702308285508e-11,false,XY + Readout
25.0,2.9999999999999996,3.829702830843392e-11,false,XY + Readout
25.25,2.9999999999999996,3.829702480298696e-11,false,XY + Readout
25.5,2.9999999999999996,3.829702219465786e-11,false,XY + Readout
25.75,2.9999999999999996,3.82970247584419e-11,false,XY + Readout
26.0,2.9999999999999996,3.8297025695752827e-11,false,XY + Readout
26.25,2.9999999999999996,3.829702477229285e-11,false,XY + Readout
26.5,2.9999999999999996,3.8297025653772415e-11,false,XY + Readout
26.75,2.9999999999999996,3.8297025548464976e-11,false,XY + Readout
27.0,2.9999999999999996,3.829702308566517e-11,false,XY + Readout
27.25,2.9999999999999996,3.8297024720461305e-11,false,XY + Readout
27.5,2.9999999999999996,3.8297023885015485e-11,false,XY + Readout
27.75,2.9999999999999996,3.8297023110698706e-11,false,XY + Readout
28.0,2.9999999999999996,3.829702392738224e-11,false,XY + Readout
